,cl,failures
0,607511,3
1,607499,3
2,607490,3
3,607486,2
4,606828,24
5,606090,2
6,606088,2
7,606087,2
8,606084,2
9,606077,2
10,605988,1
11,605986,1
12,605985,1
13,605977,1
14,605963,1
15,605731,4
16,605722,4
17,605709,4
18,605632,1
19,605613,1
20,605600,1
21,605596,1
22,605592,1
23,605527,6
24,605279,2
25,605269,2
26,605230,2
27,605198,2
28,605193,2
29,604944,2
30,604936,2
31,604931,2
32,604928,2
33,604925,2
34,604919,2
35,604917,2
36,604893,2
37,604795,14
38,604770,18
39,604767,17
40,604726,1243
41,604239,1243
42,604215,1243
43,603900,2
44,603891,2
45,603881,2
46,603862,2
47,602531,2
48,602526,2
49,601980,2
50,601978,2
51,601803,4
52,601326,2
53,601312,2
54,601308,2
55,601303,2
56,601302,2
57,601297,2
58,601286,2
59,601201,12
60,600978,9
61,600961,2
62,600801,9
63,600797,9
64,600708,1234
65,600646,2
66,600630,2
67,600628,2
68,600626,2
69,600568,1
70,600565,1
71,600562,1
72,600483,9
73,600398,1006
74,600392,1006
75,600092,26
76,600084,30
77,600078,30
78,600074,4
79,600031,2
80,600023,6
81,600017,6
82,600014,6
83,600011,6
84,599576,2
85,599576,2
86,599570,2
87,599566,2
88,599563,2
89,599554,2
90,599446,10
91,599444,11
92,599443,11
93,599439,11
94,599435,11
95,599222,2
96,599205,2
97,599100,1240
98,598685,1242
99,598678,1240
100,598675,1240
101,597760,2
102,596982,1
103,596979,1
104,596972,1
105,596967,1
106,596965,1
107,596960,1
108,596955,1
109,596953,1
110,596943,1
111,596935,1
112,596918,1
113,596907,1
114,596902,1
115,596899,1
116,596892,1
117,596891,1
118,596885,1
119,596884,1
120,596881,1
121,596879,1
122,596871,1
123,596869,1
124,596861,1
125,596836,1
126,596834,1
127,596833,1
128,596829,1
129,596824,1
130,596645,25
131,596638,25
132,596595,2
133,596593,2
134,596589,2
135,596585,2
136,596543,3
137,596541,3
138,596530,3
139,596525,3
140,596522,3
141,596513,3
142,596499,2
143,596390,1
144,596360,1
145,596354,1
146,596347,1
147,596340,1
148,595117,2
149,594984,1
150,594602,2
151,594581,2
152,594535,2
153,594481,4
154,593114,1
155,593095,1
156,593091,1
157,593083,1
158,593071,1
159,593060,1
160,593015,9
161,592956,2
162,592945,2
163,592906,2
164,592885,2
165,592869,2
166,592848,2
167,592832,2
168,592825,2
169,592818,2
170,592817,2
171,592814,2
172,592808,2
173,592787,4
174,592692,6
175,592659,6
176,592613,3
177,592598,3
178,592589,3
179,592586,3
180,592579,3
181,592570,3
182,592568,3
183,592567,3
184,592560,3
185,592557,3
186,592545,3
187,592532,3
188,592479,3
189,592466,3
190,592464,3
191,592447,3
192,592441,3
193,592419,17
194,592415,17
195,592383,3
196,592349,3
197,592328,3
198,592326,3
199,592317,3
200,592312,3
201,592299,3
202,592294,3
203,592292,3
204,592272,3
205,592221,3
206,592203,3
207,592191,3
208,592184,3
209,592183,3
210,592169,3
211,592155,3
212,592107,3
213,592085,3
214,592063,3
215,592062,3
216,592051,3
217,592043,3
218,592017,3
219,592000,5
220,591968,12
221,591966,12
222,591958,10
223,591949,10
224,591942,3
225,591932,3
226,591922,3
227,591917,3
228,591916,3
229,591913,3
230,591912,3
231,591811,1
232,591800,1
233,591792,1
234,591760,1
235,591418,3
236,591416,3
237,591398,6
238,591376,6
239,591343,6
240,591341,6
241,591321,6
242,591316,6
243,590751,1
244,590728,1
245,590704,1
246,590679,1
247,590665,1
248,590639,1
249,590631,1
250,590623,1
251,590601,1
252,590570,1
253,590558,1
254,590551,1
255,590534,1
256,590317,1
257,590304,1
258,590295,1
259,590284,1
260,590273,1
261,590271,1
262,590260,1
263,590253,1
264,590250,1
265,590239,1
266,590231,1
267,589581,1
268,589573,1
269,589541,1
270,589538,1
271,589533,1
272,589064,2
273,588554,1
274,588538,1
275,588525,1
276,588460,3
277,588445,3
278,588307,1
279,588291,1
280,588276,1
281,588147,2
282,587912,24
283,587058,2
284,586911,8
285,586899,8
286,586898,8
287,586887,8
288,586797,150
289,586472,4
290,586379,1196
291,586366,1196
292,586072,1208
